horse_id,horse_name,horse_expected_top3_rate,prev_finish,prev_last_3f,prev_odds,prev_popularity,prev_race_date,prev_jockey_id
2006103623,レーシングレデイー,0.10557581771446366,11.0,36.2,77.9,17,2010-01-30,01030
2006106847,キューティガビー,0.10557581771446366,6.0,37.5,31.8,10,2010-01-30,01113
2005101023,マーベラスウイル,0.10557581771446366,10.0,38.4,55.1,11,2010-01-30,01112
2007103865,オキナワノペガサス,0.10557581771446366,9.0,35.3,143.7,9,2010-01-30,05309
2004107227,ベルファスト,0.0,14.0,40.9,221.8,16,2010-01-30,01077
2005101402,ショウナンガーベ,0.10557581771446366,17.0,37.9,351.7,18,2010-01-30,01112
2007101359,ダークシャイン,0.0,15.0,39.6,332.0,12,2010-01-30,01092
2007104952,ゴールドパンチ,0.10557581771446366,14.0,35.9,302.8,14,2010-01-30,00629
2007102677,アルメーリヒ,0.10557581771446366,1.0,34.6,7.5,4,2010-01-30,00663
2004104975,ケイエスバウアー,0.0,14.0,36.6,178.4,13,2010-01-30,01031
2004103465,ヒカリベルサイユ,0.0,6.0,34.9,40.5,7,2010-01-30,00732
2004103804,ハギノエントラータ,0.10557581771446366,16.0,40.2,45.7,10,2010-01-30,01099
2007102167,テイエムフジアラシ,0.0,12.0,42.6,197.4,10,2010-01-30,05223
2001104872,サイレンスゴールド,0.0,7.0,34.9,200.0,10,2010-01-30,00734
2007101510,スカイライト,0.10557581771446366,,,23.7,6,2010-01-30,05243
2003104387,クリノゴールド,0.0,10.0,37.5,263.3,16,2010-01-30,01034
2004101176,ウォーターマーク,0.0,13.0,38.2,279.6,13,2010-01-30,05223
2005106442,メイショウグラナダ,0.10557581771446366,16.0,41.8,100.9,12,2010-01-30,01031
2006102982,タッチオブマスター,0.0,8.0,37.2,43.4,11,2010-01-30,01109
2006102901,エアパグナス,0.0,11.0,40.6,50.9,9,2010-01-30,01123
2002104438,シルクパスワード,0.0,14.0,36.4,173.9,15,2010-01-30,05086
2007100756,ナムラスプレンダー,0.10557581771446366,16.0,42.5,42.0,9,2010-01-30,01103
2007105804,ランバレーノ,0.0,16.0,42.4,490.1,16,2010-01-30,01078
2003104859,ヤマタケゴールデン,0.0,12.0,36.7,209.7,12,2010-01-30,05086
2005106168,ミナミタイヘイヨー,0.0,13.0,37.6,193.2,15,2010-01-30,01117
2007105330,ブランドアロー,0.0,12.0,36.4,547.9,14,2010-01-30,01107
2005106404,シゲルエスペレ,0.10557581771446366,10.0,35.1,54.2,11,2010-01-30,01062
2004103160,クラウンプリンセス,0.0,12.0,35.3,32.0,11,2010-01-31,01037
2006101639,シルクバクシン,0.0,15.0,40.9,121.8,15,2010-01-31,01075
2004104032,スプリングサンテ,0.10557581771446366,9.0,37.6,159.9,12,2010-01-31,05203
2004103051,ディアーウィッシュ,0.0,14.0,39.0,77.4,12,2010-01-31,01095
2004103678,ヒシカツリーダー,0.0,11.0,36.0,85.3,14,2010-01-31,01043
2006104419,アプレンデール,1.0,15.0,38.2,3.8,2,2010-01-31,05223
2007104845,デイタイムハミット,0.10557581771446366,11.0,36.6,16.0,7,2010-01-31,05447
2007104362,ビバライフワーク,0.0,16.0,39.4,295.7,15,2010-01-31,00718
2007105282,トーセンカムイ,0.0,14.0,41.0,401.8,16,2010-01-31,00712
2004105022,テンザンメダリスト,0.10557581771446366,12.0,39.1,281.2,16,2010-01-31,01103
2006100904,アコガレノダンス,0.10557581771446366,10.0,36.2,132.5,14,2010-01-31,01112
2007105261,イーストダンデイ,0.0,13.0,37.9,363.0,15,2010-01-31,01061
2004110030,マチカネエベッサン,0.10557581771446366,6.0,35.7,209.9,18,2010-01-31,01084
2006104136,ロッチドリーマー,0.10557581771446366,14.0,37.8,149.4,12,2010-01-31,01107
2004103087,キャッスルトン,0.10557581771446366,6.0,36.4,31.7,10,2010-01-31,01104
2007104216,チャイオー,0.0,18.0,38.2,339.2,18,2010-01-31,01049
2007105342,パープルストーン,0.10557581771446366,9.0,38.0,226.0,13,2010-01-31,01119
2002103453,エリモファイナル,0.10557581771446366,11.0,34.7,155.0,15,2010-01-31,00637
2005102231,ネオベローナ,0.10557581771446366,9.0,36.4,7.9,5,2010-01-31,01102
2005106422,マルブツエンペラー,0.0,15.0,38.7,225.5,14,2010-01-31,00629
2007102973,リボーンドリーム,0.10557581771446366,12.0,38.6,38.9,11,2010-01-31,01046
2007100334,ビッグメッセージ,0.0,15.0,37.0,233.0,16,2010-01-31,01096
2007100298,コンゴウシャトル,0.0,15.0,41.4,12.0,5,2010-01-31,01126
2007105799,タンブリングダンス,0.10557581771446366,8.0,38.2,182.5,14,2010-01-31,05041
2007101971,スカッチテイスト,0.0,15.0,40.1,210.5,16,2010-01-31,01063
2003107294,ワンダーグラス,0.0,12.0,37.3,150.3,11,2010-01-31,00815
2007101164,トミケンビジュー,0.10557581771446366,13.0,36.3,100.9,12,2010-01-31,01091
2007101105,スーパーストーン,0.10557581771446366,18.0,37.3,122.1,14,2010-01-31,01034
2005104880,ヒシシャトル,0.10557581771446366,11.0,38.2,100.2,13,2010-01-31,01117
2005103009,コスモザガリア,0.10557581771446366,13.0,37.2,12.4,6,2010-01-31,01091
2003106824,カゼノコウテイ,0.10557581771446366,16.0,34.4,329.5,16,2010-01-31,01029
2007106047,マコトヘッツァー,0.10557581771446366,11.0,40.9,244.8,12,2010-01-31,01018
2007102315,シゲルオカメノカタ,0.0,17.0,37.6,196.3,15,2010-01-31,01019
2007101260,メタヤージュ,0.10557581771446366,16.0,37.9,182.3,12,2010-01-31,01010
2007102447,シシノテイオー,0.10557581771446366,10.0,35.8,196.0,10,2010-01-31,00734
2007103321,アドマイヤスコッチ,0.10557581771446366,10.0,35.5,5.0,3,2010-01-31,00945
2003100438,ワイルドシングス,0.10557581771446366,15.0,36.6,62.7,10,2010-01-31,00729
2005100920,ビビッドビビアン,0.0,7.0,36.3,82.5,14,2010-01-31,01055
2005100539,エプソムサクラ,0.10557581771446366,17.0,37.7,179.4,16,2010-01-31,01123
2005101470,コスモポルチーニ,0.10557581771446366,11.0,38.3,34.9,10,2010-01-31,01091
2004102298,キングオーサム,0.10557581771446366,15.0,37.4,552.6,15,2010-01-31,01113
2006106902,ハクシンアマゾーヌ,0.0,13.0,39.1,187.4,14,2010-01-31,01106
2005100568,ルルパンブルー,0.0,16.0,35.9,153.8,13,2010-02-06,00637
2004110164,ユーチャリス,0.10557581771446366,17.0,37.5,30.7,8,2010-02-06,01104
2005104970,ブルーベドウィン,0.10557581771446366,,,12.9,6,2010-02-06,01046
2006105485,シゲルトカチダケ,0.0,13.0,40.0,110.4,12,2010-02-06,01101
2005103781,マチカネモンスーン,0.10557581771446366,15.0,38.1,31.9,12,2010-02-06,01113
2005103061,ハクサンレジェンド,0.0,16.0,39.4,143.3,13,2010-02-06,01104
2005100297,スズカエルマンボ,0.0,14.0,38.6,68.2,11,2010-02-06,00733
2006101647,シングアゲン,0.0,,,276.2,18,2010-02-06,05223
2005100394,リノーンランプ,0.0,8.0,13.7,41.4,9,2010-02-06,01071
2007101524,メイショウイオラニ,0.0,13.0,40.3,274.7,11,2010-02-06,00718
2005103224,コナフェット,0.0,15.0,40.2,249.3,15,2010-02-06,01056
2004109139,カリズマウイッシュ,0.0,15.0,40.7,395.9,16,2010-02-06,01127
2007100249,セレスペドロイア,0.0,9.0,37.1,110.6,14,2010-02-06,01112
2006103498,カンファーバトル,0.0,14.0,38.3,45.6,10,2010-02-06,01124
2007104678,タマモトランペット,0.0,15.0,40.1,205.0,12,2010-02-06,01043
2007100331,ナスケンアイリス,0.10557581771446366,2.0,37.0,12.1,6,2010-02-06,01123
2005101574,アグネスムーン,0.10557581771446366,9.0,37.0,21.8,9,2010-02-06,01117
2007104484,サンマルキング,0.0,13.0,40.1,129.9,11,2010-02-06,00712
2004106372,エムオーミラクル,0.10557581771446366,9.0,34.6,104.4,13,2010-02-06,01123
2006103251,レインボーマリーン,0.0,9.0,37.0,42.9,9,2010-02-06,00734
2005101694,コスモハクウ,0.0,10.0,36.3,138.4,12,2010-02-06,05243
2007100467,コパノトヨウケ,0.10557581771446366,16.0,38.8,248.2,16,2010-02-06,01118
2005105663,オンアンドオン,0.10557581771446366,13.0,37.0,114.5,13,2010-02-06,01118
2005106916,デジャヴ,0.0,10.0,39.6,152.4,14,2010-02-06,01075
2002100810,インティライミ,0.0,15.0,40.1,22.7,8,2010-02-06,00682
2004100661,サイキックダイブ,0.10557581771446366,7.0,39.0,48.4,8,2010-02-06,01122
2004100181,ウインアンジェラス,0.10557581771446366,14.0,36.1,79.4,11,2010-02-06,00629
2007109118,カシノスラッガー,0.10557581771446366,16.0,38.8,148.3,15,2010-02-06,01004
2002106911,マンテンハット,0.0,12.0,34.2,226.9,15,2010-02-06,01080
2002107075,ハギノトリオンフォ,0.0,9.0,37.3,128.4,12,2010-02-06,00894
2001104077,テイエムアクション,1.0,11.0,38.7,12.2,5,2010-02-06,01018
2004103080,シーリーコート,0.0,8.0,38.3,6.3,2,2010-02-06,05212
2002110028,ナカヤマスナイパー,0.10557581771446366,13.0,39.2,121.0,13,2010-02-06,01122
2003102848,パワーコレクター,0.0,14.0,41.3,55.1,11,2010-02-06,01092
2003104835,ソニックルーラー,0.0,11.0,39.3,263.0,14,2010-02-06,00689
2004103303,アスクデピュティ,0.0,3.0,34.4,22.6,5,2010-02-06,00711
2003110134,フサイチギガダイヤ,0.0,,,,7,2010-02-06,01099
2001106968,スリーエリシオ,0.0,9.0,13.9,155.6,13,2010-02-06,00655
2004102678,メジロラスタバン,0.0,2.0,13.4,30.5,8,2010-02-06,01040
2000103344,スターイレブン,0.10557581771446366,13.0,38.3,198.6,15,2010-02-06,01003
2006104763,タキオンクール,0.10557581771446366,4.0,35.1,14.7,8,2010-02-07,01117
2004102971,スズノライコウ,0.10557581771446366,13.0,37.1,163.3,13,2010-02-07,01096
2003102358,リヒター,0.0,12.0,36.2,135.5,12,2010-02-07,01125
